                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.55237,                0.66052,                0.88772,                0.95288,                0.90339,                0.97375,                0.79835,                0.65347,                0.87748,                0.99333,              0.0013087,              0.0013087,              0.0013087
                     37,                0.59039,                0.70876,                0.89561,                0.91282,                0.93551,                0.94686,                0.75686,                 0.6562,                0.89182,                0.97935,              0.0013052,              0.0013052,              0.0013052
                     38,                0.59588,                0.68845,                0.91465,                0.93155,                0.95578,                 0.9485,                0.74764,                0.66683,                 1.0401,                 0.9828,              0.0013017,              0.0013017,              0.0013017
                     39,                0.56805,                 0.6625,                0.87046,                0.95743,                0.94542,                0.96549,                 0.7859,                0.63949,                 1.0478,                0.97856,              0.0012981,              0.0012981,              0.0012981
                     40,                0.53359,                0.63565,                0.88019,                0.93734,                0.91491,                0.95972,                 0.7964,                0.62753,                0.97761,                 0.9713,              0.0012946,              0.0012946,              0.0012946
                     41,                0.54828,                0.65539,                0.88498,                0.94666,                0.93939,                0.96325,                0.77299,                0.64582,                0.89109,                0.97398,              0.0012911,              0.0012911,              0.0012911
                     42,                0.52163,                0.60642,                 0.8685,                0.92586,                0.92987,                0.95975,                0.77336,                0.64584,                0.81005,                0.98176,              0.0012875,              0.0012875,              0.0012875
                     43,                0.53748,                 0.6248,                0.86502,                0.97837,                0.93721,                0.97365,                0.79396,                0.64468,                0.75518,                0.98093,               0.001284,               0.001284,               0.001284
                     44,                0.56454,                0.63283,                0.88597,                0.97343,                0.95741,                0.97935,                0.82571,                0.58597,                0.73646,                0.93821,              0.0012805,              0.0012805,              0.0012805
                     45,                0.53573,                0.63917,                0.88635,                0.96815,                0.96155,                0.99038,                0.81664,                0.58306,                0.73067,                0.91654,              0.0012769,              0.0012769,              0.0012769
                     46,                 0.5753,                0.61615,                0.86805,                0.92769,                 0.9697,                0.97722,                0.80879,                0.59943,                0.73986,                0.92638,              0.0012734,              0.0012734,              0.0012734
                     47,                0.59375,                0.66818,                0.91806,                0.94195,                0.92766,                0.97305,                0.81933,                0.58772,                0.72234,                0.93201,              0.0012698,              0.0012698,              0.0012698
                     48,                0.57019,                 0.6342,                 0.8948,                0.95649,                 0.9157,                0.96787,                0.81401,                0.58119,                 0.6946,                0.91586,              0.0012663,              0.0012663,              0.0012663
                     49,                0.55095,                0.61862,                0.88543,                0.95763,                0.92587,                0.97875,                0.84543,                0.56388,                0.67294,                0.90019,              0.0012628,              0.0012628,              0.0012628
                     50,                0.57244,                0.63569,                0.91498,                0.96806,                 0.9179,                0.99038,                0.84074,                 0.5745,                0.67942,                 0.8943,              0.0012592,              0.0012592,              0.0012592
                     51,                0.54632,                 0.5787,                0.87438,                 0.9366,                 0.9697,                 0.9925,                0.84804,                0.54803,                 0.6618,                0.88965,              0.0012557,              0.0012557,              0.0012557
                     52,                0.50074,                0.57972,                0.86633,                0.97405,                0.93165,                0.98766,                0.84209,                0.55683,                0.64958,                0.89533,              0.0012522,              0.0012522,              0.0012522
                     53,                0.50869,                0.56119,                0.87069,                0.93932,                 0.9697,                 0.9822,                0.83065,                0.57414,                0.62127,                0.90729,              0.0012486,              0.0012486,              0.0012486
                     54,                0.54536,                 0.5891,                 0.8908,                0.94047,                0.93939,                0.97105,                0.84737,                0.59985,                0.61122,                0.93929,              0.0012451,              0.0012451,              0.0012451
